lsoa11cd,FHRSID
E01000001,117
E01000002,122
E01000003,119
E01000005,159
E01000006,103
E01000007,94
E01000008,98
E01000009,106
E01000010,90
E01000011,96
E01000012,99
E01000013,44
E01000014,32
E01000015,73
E01000016,49
E01000017,46
E01000018,55
E01000019,56
E01000020,58
E01000021,38
E01000022,61
E01000023,19
E01000024,32
E01000025,38
E01000027,10
E01000028,11
E01000029,26
E01000030,13
E01000031,33
E01000032,39
E01000033,23
E01000034,13
E01000035,37
E01000036,46
E01000037,20
E01000038,14
E01000039,14
E01000040,29
E01000041,28
E01000042,34
E01000043,36
E01000044,91
E01000045,30
E01000046,27
E01000048,81
E01000049,72
E01000050,88
E01000051,89
E01000052,49
E01000053,40
E01000054,17
E01000055,19
E01000056,25
E01000057,23
E01000058,38
E01000059,56
E01000060,41
E01000061,27
E01000062,32
E01000063,38
E01000064,27
E01000065,38
E01000066,31
E01000067,21
E01000068,94
E01000069,24
E01000070,37
E01000071,30
E01000072,24
E01000073,24
E01000074,40
E01000075,19
E01000076,23
E01000077,29
E01000078,32
E01000079,50
E01000080,24
E01000081,25
E01000082,42
E01000083,38
E01000084,53
E01000085,63
E01000086,59
E01000087,49
E01000088,51
E01000089,30
E01000090,28
E01000091,23
E01000092,20
E01000093,34
E01000094,19
E01000095,6
E01000096,28
E01000097,63
E01000098,43
E01000099,47
E01000100,40
E01000101,33
E01000102,50
E01000103,24
E01000104,29
E01000105,62
E01000106,65
E01000107,24
E01000108,31
E01000109,37
E01000110,22
E01000111,37
E01000112,46
E01000113,39
E01000114,29
E01000115,17
E01000116,8
E01000117,13
E01000118,12
E01000119,26
E01000120,24
E01000121,12
E01000122,17
E01000123,22
E01000124,27
E01000125,50
E01000126,22
E01000127,47
E01000128,48
E01000129,48
E01000130,32
E01000131,44
E01000132,27
E01000133,23
E01000134,58
E01000135,28
E01000136,25
E01000137,24
E01000138,15
E01000139,16
E01000140,9
E01000141,36
E01000142,37
E01000143,40
E01000144,46
E01000145,36
E01000146,26
E01000147,24
E01000148,27
E01000150,17
E01000151,11
E01000152,8
E01000153,16
E01000154,13
E01000155,16
E01000156,10
E01000157,13
E01000158,22
E01000159,18
E01000160,32
E01000161,17
E01000162,13
E01000163,17
E01000164,5
E01000165,19
E01000166,10
E01000167,9
E01000168,26
E01000169,16
E01000170,17
E01000171,17
E01000172,21
E01000173,16
E01000174,15
E01000175,16
E01000176,14
E01000177,24
E01000178,20
E01000179,18
E01000180,22
E01000181,19
E01000182,18
E01000183,22
E01000184,13
E01000185,19
E01000186,19
E01000187,7
E01000188,6
E01000189,10
E01000190,42
E01000191,44
E01000192,50
E01000193,47
E01000194,54
E01000195,6
E01000196,35
E01000197,40
E01000198,12
E01000199,18
E01000200,17
E01000201,19
E01000202,19
E01000203,23
E01000204,44
E01000205,27
E01000206,0
E01000207,5
E01000208,22
E01000209,27
E01000210,9
E01000211,23
E01000212,49
E01000213,5
E01000214,23
E01000215,49
E01000216,55
E01000217,35
E01000218,49
E01000219,32
E01000220,42
E01000221,27
E01000222,17
E01000223,16
E01000224,23
E01000225,42
E01000226,71
E01000227,52
E01000228,2
E01000229,11
E01000230,17
E01000231,10
E01000232,14
E01000233,24
E01000234,30
E01000235,27
E01000236,63
E01000237,58
E01000238,42
E01000239,22
E01000240,9
E01000241,21
E01000242,35
E01000243,47
E01000244,49
E01000245,49
E01000246,14
E01000247,8
E01000248,17
E01000249,16
E01000250,16
E01000251,12
E01000252,10
E01000253,1
E01000254,15
E01000255,3
E01000256,10
E01000257,10
E01000258,15
E01000259,11
E01000260,7
E01000261,10
E01000262,8
E01000263,16
E01000264,29
E01000265,8
E01000266,11
E01000267,18
E01000268,12
E01000269,6
E01000270,22
E01000271,11
E01000272,24
E01000273,17
E01000274,10
E01000275,14
E01000276,0
E01000277,35
E01000278,1
E01000279,1
E01000280,10
E01000281,15
E01000282,11
E01000283,3
E01000284,15
E01000285,4
E01000286,2
E01000287,3
E01000288,8
E01000289,10
E01000290,1
E01000291,6
E01000292,18
E01000293,22
E01000294,18
E01000295,42
E01000296,41
E01000297,43
E01000298,43
E01000299,40
E01000300,42
E01000301,55
E01000302,60
E01000303,34
E01000304,41
E01000305,15
E01000306,37
E01000307,41
E01000308,12
E01000309,43
E01000310,53
E01000311,59
E01000312,24
E01000313,27
E01000314,57
E01000315,33
E01000316,38
E01000317,61
E01000318,46
E01000319,39
E01000320,36
E01000321,37
E01000322,43
E01000323,42
E01000324,37
E01000325,13
E01000326,10
E01000327,29
E01000328,15
E01000329,30
E01000330,41
E01000331,13
E01000332,29
E01000333,18
E01000334,20
E01000335,17
E01000336,24
E01000337,23
E01000338,24
E01000339,17
E01000340,17
E01000341,25
E01000342,18
E01000343,15
E01000344,11
E01000345,16
E01000346,20
E01000347,18
E01000348,10
E01000349,7
E01000350,16
E01000351,9
E01000352,17
E01000353,16
E01000354,20
E01000355,28
E01000356,29
E01000357,13
E01000358,33
E01000359,16
E01000360,48
E01000361,27
E01000362,43
E01000363,41
E01000364,34
E01000365,55
E01000366,46
E01000367,26
E01000368,12
E01000369,23
E01000370,25
E01000371,23
E01000372,32
E01000373,19
E01000374,16
E01000375,26
E01000376,25
E01000377,31
E01000378,26
E01000379,24
E01000380,9
E01000381,5
E01000382,6
E01000383,5
E01000384,20
E01000385,8
E01000386,5
E01000387,5
E01000388,32
E01000389,25
E01000390,11
E01000391,17
E01000392,38
E01000393,27
E01000394,28
E01000395,13
E01000396,17
E01000398,12
E01000399,23
E01000400,37
E01000401,38
E01000402,32
E01000403,21
E01000404,22
E01000405,22
E01000406,18
E01000407,40
E01000408,20
E01000409,41
E01000410,21
E01000411,29
E01000412,15
E01000413,22
E01000414,42
E01000415,36
E01000416,14
E01000417,4
E01000418,12
E01000419,3
E01000420,19
E01000421,15
E01000422,10
E01000423,19
E01000424,31
E01000425,16
E01000426,9
E01000427,25
E01000428,22
E01000429,18
E01000430,5
E01000431,23
E01000432,12
E01000433,14
E01000434,7
E01000435,11
E01000436,17
E01000437,33
E01000438,24
E01000439,22
E01000440,28
E01000441,26
E01000442,20
E01000443,7
E01000444,2
E01000445,7
E01000446,11
E01000447,11
E01000448,15
E01000449,11
E01000450,8
E01000451,10
E01000452,11
E01000453,18
E01000454,24
E01000455,35
E01000456,29
E01000457,25
E01000458,23
E01000459,19
E01000460,16
E01000461,10
E01000462,19
E01000463,18
E01000464,12
E01000465,10
E01000466,11
E01000467,6
E01000468,3
E01000469,6
E01000470,13
E01000471,45
E01000472,49
E01000473,40
E01000474,58
E01000475,33
